Circoscrizione,Celtis australis,Aesculus hippocastanum,Carpinus betulus,Tilia cordata,Platanus x hispanica,Others
SARDAGNA,0.0,0.0,0.0,0.0,0.0,38.0
POVO,21.0,13.0,1.0,1.0,2.0,151.0
MEANO,9.0,0.0,2.0,1.0,9.0,185.0
MATTARELLO,25.0,1.0,13.0,6.0,6.0,213.0
BONDONE,1.0,21.0,3.0,9.0,2.0,256.0
RAVINA-ROMAGNANO,15.0,3.0,5.0,34.0,23.0,239.0
VILLAZZANO,19.0,0.0,33.0,35.0,3.0,326.0
ARGENTARIO,61.0,9.0,18.0,5.0,12.0,349.0
GARDOLO,211.0,4.0,53.0,216.0,169.0,998.0
OLTREFERSINA,341.0,34.0,126.0,116.0,31.0,2047.0
CENTRO STORICO PIEDICASTELLO,242.0,91.0,159.0,55.0,192.0,2225.0
S.GIUSEPPE-S.CHIARA,83.0,405.0,123.0,31.0,53.0,2329.0
